Id,Name ,SwahiliName,IsActive,MinistryId,IsPublicSector
59,Idara ya Utumishi na Uendeshaji,Idara ya Utumishi na Uendeshaji,0,33,1
60,Bodi ya Mamlaka ya Mjimkongwe,Bodi ya Mamlaka ya Mjimkongwe,1,27,1
61,Baraza la Kiswahili Zanzibar,Baraza la Kiswahili Zanzibar,1,26,1
62,Bodi ya Mamlaa ya Bandari(ZMA),Bodi ya Mamlaa ya Bandari(ZMA),0,NULL,1
63,"Bara la Sanaa,Sensa, Filamu na Utamaduni","Bara la Sanaa,Sensa, Filamu na Utamaduni",1,NULL,1
64,Kampuni ya Uvuvi ya Zanzibar (ZAFICO),Kampuni ya Uvuvi ya Zanzibar (ZAFICO),1,33,1
65,Baraza la Mji Wete,Baraza la Mji Wete,1,16,1
66,Baraza la Watu Wenye Ulemavu,Baraza la Watu Wenye Ulemavu,1,5,1
67,Kikosi cha Zimamoto na Uokozi,Kikosi cha Zimamoto na Uokozi,1,16,1
68,Kampuni ya Maendeleo ya Mafuta na Gesi Asilia Zanzibar,Kampuni ya Maendeleo ya Mafuta na Gesi Asilia Zanzibar,1,33,1
69,Kamisheni ya Wakfu na Mali ya Amana,Kamisheni ya Wakfu na Mali ya Amana,1,22,1
70,Taasisi ya Elimu Zanzibar,Taasisi ya Elimu Zanzibar,1,19,1
71,Ofisi ya Mthamini Mkuu wa Serikali,Ofisi ya Mthamini Mkuu wa Serikali,1,29,1
72,Halmashauri ya Wilaya Kaskazini B,Halmashauri ya Wilaya Kaskazini B,1,16,1
73,Bodi ya Nyaraka na Kumbukumbu za Kitaifa,Bodi ya Nyaraka na Kumbukumbu za Kitaifa,1,NULL,1
74,Ofisi ya Kadhi,Ofisi ya Kadhi,1,NULL,1
75,Ofisi ya Mkaguzi Mkuu wa Elimu,Ofisi ya Mkaguzi Mkuu wa Elimu,1,19,1
76,Bodi ya Kamisheni ya Utalii,Bodi ya Kamisheni ya Utalii,1,27,1
77,Bodi ya Mamlaka ya Bandari,Bodi ya Mamlaka ya Bandari,1,NULL,1
78,"Baraza la Sanaa, Sensa, Filamu na Utamaduni(BASSFU)","Baraza la Sanaa, Sensa, Filamu na Utamaduni(BASSFU)",1,26,1
79,Bodi ya Wakurugenzi ya Benki ya Watu wa Zanzibar,Bodi ya Wakurugenzi ya Benki ya Watu wa Zanzibar,1,23,1
80,Bohari Kuu ya Dawa,Bohari Kuu ya Dawa,1,5,1
81,Baraza la Chuo Kikuu cha Taifa cha Zanzibar(SUZA),Baraza la Chuo Kikuu cha Taifa cha Zanzibar(SUZA),1,19,1
82,Jiji la Zanzibar,Jiji la Zanzibar,1,16,1
83,Baraza la Chuo cha Kilimo Kizimbani,Baraza la Chuo cha Kilimo Kizimbani,1,NULL,1
84,Bodi ya Usafiri wa Barabara,Bodi ya Usafiri wa Barabara,1,NULL,1
85,Bodi ya Shirika la Biashara Zanzibar (ZSTC),Bodi ya Shirika la Biashara Zanzibar (ZSTC),1,28,1
86,Ofisi ya Rais -Ushirikiano wa Kimataifa na Uratibu wa Wazanzibari wanaoishi Nchi za Nje (DIASPORA),Ofisi ya Rais -Ushirikiano wa Kimataifa na Uratibu wa Wazanzibari wanaoishi Nchi za Nje (DIASPORA),1,NULL,1
87,Mkoa wa Mjini Magharibi,Mkoa wa Mjini Magharibi,1,16,1
88,Wakala wa Usajili Biashara na Mali,Wakala wa Usajili Biashara na Mali,1,28,1
89,Tume ya Taifa ya Kuratibu na Kudhibiti Madawa ya KulevyaA,Tume ya Taifa ya Kuratibu na Kudhibiti Madawa ya KulevyaA,0,NULL,1
90,Baraza la Michezo (Body),Baraza la Michezo (Body),0,NULL,1
91,Bodi ya Mamlaka ya Maendeleo ya Viwanda Vidogo Vidogo na vya Kati (SMIDA),Bodi ya Mamlaka ya Maendeleo ya Viwanda Vidogo Vidogo na vya Kati (SMIDA),1,NULL,1
92,Wakala wa Serikali wa Uchapaji,Wakala wa Serikali wa Uchapaji,0,NULL,1
93,Bodi ya Mamlaka ya Maji(ZAWA),Bodi ya Mamlaka ya Maji(ZAWA),1,1027,1
94,Taasisi ya Viwango Zanzibar(ZBS),Taasisi ya Viwango Zanzibar(ZBS),1,28,1
95,Tume ya Maadili ya Viongozi wa Umma,Tume ya Maadili ya Viongozi wa Umma,1,22,1
96,Ofisi ya Msajili wa Ardhi,Ofisi ya Msajili wa Ardhi,1,NULL,1
97,Taasisi ya Utafiti wa Mifugo (ZALIRI),Taasisi ya Utafiti wa Mifugo (ZALIRI),1,25,1
98,Bodi ya Shirika la Umeme Zanzibar(ZECO),Bodi ya Shirika la Umeme Zanzibar(ZECO),1,24,1
99,Mamlaka ya Kudhibiti Utafutaji na Uchimbaji wa Mafuta na Gesi Asilia,NULL,0,NULL,1
100,Mkoa wa Kusini Unguja,Mkoa wa Kusini Unguja,1,16,1
101,Shirika la Magazeti ya Serikali,Shirika la Magazeti ya Serikali,1,26,1
102,Baraza la Wawakilishi,Baraza la Wawakilishi,1,2,1
103,Bodi ya Ushauri wa Hospital Binafsi,Bodi ya Ushauri wa Hospital Binafsi,1,31,1
104,Shirika la Meli,Shirika la Meli,1,32,1
105,Ofisi ya Mufti Mkuu,Ofisi ya Mufti Mkuu,1,22,1
106,Mamlaka ya Mafunzo ya Amali,Mamlaka ya Mafunzo ya Amali,1,19,1
107,Tume ya Utumishii SerikaliniA,Tume ya Utumishii SerikaliniA,0,NULL,1
108,Bodi ya Usimamizi wa Hakimiliki,Bodi ya Usimamizi wa Hakimiliki,1,NULL,1
109,Tume ya Ushindani Halali wa Biashara na kumlinda Mtumiaji(ZFCC),Tume ya Ushindani Halali wa Biashara na kumlinda Mtumiaji(ZFCC),1,28,1
110,Shirika la Biashara la Zanzibar(ZSTC),Shirika la Biashara la Zanzibar(ZSTC),1,28,1
111,Tume ya Ukimwi,Tume ya Ukimwi,1,4,1
112,Bodi ya Ushauri wa Wakala wa Mkonga wa Mawasiliano,Bodi ya Ushauri wa Wakala wa Mkonga wa Mawasiliano,1,NULL,1
113,Bodi ya Wakala wa Chakula Dawa na Vipodozi,Bodi ya Wakala wa Chakula Dawa na Vipodozi,1,5,1
114,Tume ya Uchaguzi,Tume ya Uchaguzi,1,2,1
115,Tume ya Utumishi BLW,Tume ya Utumishi BLW,1,NULL,1
