Id,Name ,SwahiliName,IsActive,MinistryId,IsPublicSector
251,Ofisi Kuu Pemba - Wizara ya Habari,Ofisi Kuu Pemba - Wizara ya Habari,1,26,1
252,Mkemia Mkuu wa Maabara ya Serikali,Mkemia Mkuu wa Maabara ya Serikali,1,5,1
253,Mfamasia Mkuu wa Serikali,Mfamasia Mkuu wa Serikali,1,5,1
254,Maabara ya Taifa -Pemba,Maabara ya Taifa -Pemba,1,5,1
255,Baraza la Wataalamu wa Maabara za Tiba,Baraza la Wataalamu wa Maabara za Tiba,1,5,1
256,Baraza la Taifa la Wataalamu wa Afya ya Mazingira,Baraza la Taifa la Wataalamu wa Afya ya Mazingira,1,5,1
257,Ofisi Kuu Pemba -Wizara ya Elimu,Ofisi Kuu Pemba -Wizara ya Elimu,1,19,1
258,Ofisi Kuu Pemba - Wizara ya Mawasiliano,Ofisi Kuu Pemba - Wizara ya Mawasiliano,1,32,1
259,Ofisi Kuu Pemba- TAWALA,Ofisi Kuu Pemba- TAWALA,1,16,1
260,Wakala wa Ulinzi Kikosi Cha Ulinzi cha JKU,Wakala wa Ulinzi Kikosi Cha Ulinzi cha JKU,1,16,1
261,Uratibu wa Tawala za Mikoa na Serikali za Mitaa,Uratibu wa Tawala za Mikoa na Serikali za Mitaa,1,16,1
262,Jumuiya zisizo za Kiserikali,Jumuiya zisizo za Kiserikali,1,16,1
263,"Ofisi Kuu Pemba - Katiba, Sheria  Utumishi na Utawala Bora","Ofisi Kuu Pemba - Katiba, Sheria  Utumishi na Utawala Bora",1,22,1
264,Ofisi Kuu Pemba-Fedha na Mipango,Ofisi Kuu Pemba-Fedha na Mipango,1,23,1
265,Afisi ya Uratibu wa Shughuli za SMZ - Dodoma,Afisi ya Uratibu wa Shughuli za SMZ - Dodoma,1,24,1
266,Kiengo cha Pencheni,Kiengo cha Pencheni,1,23,1
267,Idara ya Fedha za Nje,Idara ya Fedha za Nje,1,23,1
268,Idara ya Ujenzi ,Idara ya Ujenzi ,1,17,1
269,"Idara ya Mipango, Sera na Utafiti","Idara ya Mipango, Sera na Utafiti",1,2,1
270,Idara ya Nishati na Madini,Idara ya Nishati na Madini,1,24,1
271,Idara ya Upimaji na Ramani,Idara ya Upimaji na Ramani,1,29,1
272,Wakala wa Miundombinu ya TEHAMA,Wakala wa Miundombinu ya TEHAMA,1,32,1
273,Idara ya Ustawi wa Jamii,Idara ya Ustawi wa Jamii,1,31,1
274,Baraza la Taifa la Watu Wenye Ulemavu,Baraza la Taifa la Watu Wenye Ulemavu,1,4,1
275,Idara ya Ushirika,Idara ya Ushirika,1,21,1
276,Mradi wa ZESTA,Mradi wa ZESTA,1,24,1
277,Wakala wa Barabara,Wakala wa Barabara,1,32,1
278,Bodi ya Vileo,Bodi ya Vileo,1,22,1
279,Mradi wa BIGZ,Mradi wa BIGZ,1,23,1
280,Baraza la Uongozi wa Kituo cha Mafunzo ya Sheria na Utafiti Zanzibar,Baraza la Uongozi wa Kituo cha Mafunzo ya Sheria na Utafiti Zanzibar,1,22,1
281,Idara ya Mazingira,Idara ya Mazingira,1,4,1
282,Wakala wa Maabara ya Mkemia Mkuu,Wakala wa Maabara ya Mkemia Mkuu,1,5,1
283,Dar-es-Salaam,Dar-es-Salaam,0,23,1
284,Idara ya Utawala Bora,Idara ya Utawala Bora,1,22,1
285,Tume ya Utumishi ya Baraza la Wawakilishi,Tume ya Utumishi ya Baraza la Wawakilishi,1,2,1
286,Idara ya Sherehe na Maadhimisho ya Kitaifa,Idara ya Sherehe na Maadhimisho ya Kitaifa,1,2,1
287,Idara ya Uhifadhi wa Maeneo ya Baharini,Idara ya Uhifadhi wa Maeneo ya Baharini,1,33,1
288,Idara ya Michezo,Idara ya Michezo,1,19,1
289,Mfuko wa Maendeleo ya Jamii (TASSAF),Mfuko wa Maendeleo ya Jamii (TASSAF),1,2,1
290,Idara ya Uwezeshaji,Idara ya Uwezeshaji,1,21,1
291,Skuli ya Biashara,Skuli ya Biashara,1,19,1
292,Skuli ya Kilimo,Skuli ya Kilimo,1,19,1
293,Idara ya Kilimo,Idara ya Kilimo,1,25,1
294,Idara ya Tiba,Idara ya Tiba,1,5,1
295,"Idara ya Elimu, Msingi na Maandalizi","Idara ya Elimu, Msingi na Maandalizi",1,19,1
296,PBZ Islamic Bank,PBZ Islamic Bank,1,23,1
297,Elimu Mbadala na Watu  Wazima,Elimu Mbadala na Watu  Wazima,1,19,1
298,Idara ya Kinga,Idara ya 'Kinga,1,31,1
299,Vyama vya Wafanyakazi na Waajiri,Vyama vya Wafanyakazi na Waajiri,1,21,1
300,Ofisi ya Uratibu wa Shughuli za SMZ - Dodoma,Ofisi ya Uratibu wa Shughuli za SMZ - Dodoma,1,2,1
301,"Idara ya Mipango, Sera na Utafiti","Idara ya Mipango, Sera na Utafiti",1,25,1
302,Kampuni ya Mwani,Kampuni ya Mwani,1,33,1
303,Baraza la Udhibiti wa Mfumo wa Utoaji wa Leseni ,Baraza la Udhibiti wa Mfumo wa Utoaji wa Leseni ,1,30,1
304,Mamlaka ya kukuza Uwekezaji Zanzibar,Mamlaka ya kukuza Uwekezaji Zanzibar,1,21,1
305,Idara maalum za SMZ,Idara maalum za SMZ,1,16,1
306,Tume ya Ukimwi,Tume ya Ukimwi,1,4,1
307,Baraza la Ushindani Halali wa Biashara (ZFCT),Baraza la Ushindani Halali wa Biashara (ZFCT),1,30,1
308,Kampuni ya Mwani,Kampuni ya Mwani,1,30,1
